Band	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Teenage Bottlerocket																				1		1	
Ten Second Epic																		1					
Terrible Things																	1						
Terror																				1			
Tess Dunn															1	1	1	1	1	1	1		
Texas in July																			1				
There For Tomorrow																	1						
They All Float																		1					
Thirty Seconds to Mars													1										
This Wild Life																				1	1		
Thrice							1	1	1		1			1									
Throwdown													1										
Throw The Fight													1										
Thursday								1		1		1											
Tiger Army								1		1			1										
Tillie																							1
Tilt	1			1																			
Tip the Van											1	1											
Title Fight													1					1					
To The Wind																				1			
Tomorrow's Bad Seeds																	1	1					
Tonight Alive																		1	1			1	
Tony D'Angelo																		1					
Too Close to Touch																						1	1
Tornado Rider																	1						
Total Chaos													1										
Trading Bryson			1																				
Transit																		1			1		
Transplants											1												
Trashing Andi									1														
Treaty of Paris														1									
Treephort									1														
Trophy Eyes																					1		1
Trust Company								1															
T.S.O.L.														1									1
Tsunami Bomb								1	1		1											1	
Twilight Creeps																							1
Twin Atlantic																		1					
Twiztid									1														
Underoath									1	1	1	1		1									
Unlocking The Truth																				1			
Unsane				1																			
The Unseen									1		1		1										
Unwritten Law		1		1	1												1						
Upon a Burning Body																			1				
The Urge				1																			
Urinal Mints											1												
The Used								1	1	1			1					1	1				
Valencia													1	1									
Valient Thorr										1	1	1											1
Vampires Everywhere!																		1					
The Vandals				1	1		1			1			1	1									
The Vanished											1												
Vanna														1				1		1		1	
Vaux									1	1													
Veara																	1						
Veil Of Maya																						1	
Vendetta Red									1														
VersaEmerge															1	1			1				
The Vincent Black Shadow												1	1										
Vision of Disorder			1		1																		
Volumes																			1	1		1	
Vonnegutt																	1						
Voodoo Blue											1												
Wage War																						1	
Waka Flocka Flame																						1	
Wallpaper.																			1				
War on Women																							1
Waterparks																			1		1	1	
Watsky																				1			1
The Waves																							1
Wax																				1			
We Are The In Crowd																1		1		1			
We Are The Ocean																		1					
We Came As Romans																	1		1		1		
We the Kings														1	1	1		1		1		1	
weatherPROOF													1										
Weerd Science																	1						
Weezer						1																	
We're Doomed																	1						
West Beverly								1															
While She Sleeps																			1		1		
Whitechapel																1						1	
White Kaps			1																				
The White Noise																							1
Wick-It The Instigator																		1					
William Control																							1
Wind In Sails																				1			
Winds Of Plague																	1						
Windsor Drive																	1						
